_id,avgrating,cluster,genres,kMeansNorm,movie,numvotes,runtime,startyear
71402,6.9,13,"[""Action"",""Drama"",""Crime""]","[0.6582278481012658,0.42500000000000016]",71402,40335,93,1974
75223,6.9,13,"[""Crime"",""Comedy"",""Action""]","[0.6835443037974683,0.42500000000000016]",75223,20703,114,1976
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
_id,avgrating,cluster,genres,kMeansNorm,movie,numvotes,runtime,startyear
36027,7,11,"[""Drama"",""Fantasy"",""Horror""]","[0.26582278481012656,0.45000000000000007]",36027,12801,69,1943
37988,7.5,11,"[""Drama"",""Fantasy"",""Horror""]","[0.2911392405063291,0.5750000000000001]",37988,13602,110,1945
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
_id,avgrating,cluster,genres,kMeansNorm,movie,numvotes,runtime,startyear
61385,7,11,"[""Romance"",""Comedy""]","[0.569620253164557,0.45000000000000007]",61385,19348,106,1967
65134,7,11,"[""Adventure"",""Romance"",""War""]","[0.6075949367088608,0.45000000000000007]",65134,28646,116,1970
66011,6.9,11,"[""Drama"",""Romance""]","[0.6075949367088608,0.42500000000000016]",66011,35166,100,1970
70849,6.9,11,"[""Romance"",""Drama""]","[0.6329113924050633,0.42500000000000016]",70849,55007,129,1972
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
_id,avgrating,cluster,genres,kMeansNorm,movie,numvotes,runtime,startyear
67756,6.6,5,"[""Drama"",""Sci-Fi""]","[0.6329113924050633,0.3499999999999999]",67756,29928,89,1972
68713,6.5,5,"[""Sci-Fi"",""Adventure"",""Horror""]","[0.6329113924050633,0.325]",68713,11505,91,1972
,,,,,,,,
,,,,,,,,
_id,avgrating,cluster,genres,kMeansNorm,movie,numvotes,runtime,startyear
65143,7.1,5,"[""Horror"",""Thriller"",""Mystery""]","[0.6075949367088608,0.475]",65143,22109,96,1970
67927,7.2,5,"[""Action"",""Thriller"",""Crime""]","[0.620253164556962,0.5000000000000001]",67927,29153,99,1971
70379,7.2,5,"[""Thriller"",""Crime"",""Drama""]","[0.6455696202531646,0.5000000000000001]",70379,111478,112,1973